1password 8.9.14-9
abseil-cpp 20220623.1-1
acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-cursors 43-2
adwaita-dark 1.0-1
adwaita-icon-theme 43-2
alacritty 0.11.0-2
alsa-card-profiles 1:0.3.65-5
alsa-lib 1.2.8-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.8-1
aom 3.5.0-1
appimagelauncher 2.2.0-6
archlinux-keyring 20230130-1
argon2 20190702-4
at-spi2-core 2.46.0-2
atkmm 2.28.3-1
attr 2.5.1-2
audit 3.0.9-2
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
base 3-1
bash 5.1.016-1
binutils 2.40-2
bison 3.8.2-4
blueman 2.3.5-1
bluez 5.66-1
bluez-libs 5.66-1
boost-libs 1.81.0-2
botan 2.19.3-1
bridge-utils 1.7.1-1
brotli 1.0.9-9
btrfs-progs 6.1.3-1
bubblewrap 0.7.0-1
bzip2 1.0.8-5
c-ares 1.19.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.87-1
ca-certificates-utils 20220905-1
cairo 1.17.6-2
cairomm 1.14.4-1
cantarell-fonts 1:0.303.1-1
chromium 109.0.5414.119-1
chrono-date 3.0.1-3
clutter 1.26.4-2
clutter-gtk 1.8.4-3
cmark 0.30.3-1
code 1.74.3-1
cogl 1.22.8-2
confuse 3.3-3
containerd 1.6.16-1
coreutils 9.1-3
cracklib 2.9.8-1
cryptsetup 2.6.0-1
curl 7.87.0-3
dav1d 1.0.0-1
db5.3 5.3.28-2
dbus 1.14.4-1
dbus-glib 0.112-2
dconf 0.40.0-2
dconf-editor 43.0-1
debugedit 5.0-4
default-cursors 2-1
desktop-file-utils 0.26-2
device-mapper 2.03.18-4
diffutils 3.8-1
discord 0.0.24-1
djvulibre 3.5.28-4
dmenu-wayland-git 4.2.1.r57.b600472-1
dmidecode 3.4-1
dmraid 1.0.0.rc16.3-14
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
docker 1:20.10.23-1
docker-compose 2.15.1-1
dosfstools 4.2-3
dotnet-host 7.0.2.sdk102-1
dotnet-runtime 7.0.2.sdk102-1
double-conversion 3.2.1-1
duktape 2.7.0-5
e2fsprogs 1.46.5-4
editline 1.17.1-2
efibootmgr 18-1
efivar 38-2
electron 22.0.3-1
electron19 19.1.9-3
electron21 21.3.5-1
ell 0.56-1
enchant 2.3.3-2
evince 43.1-2
evolution-data-server 3.46.3-1
exo 4.18.0-1
expat 2.5.0-1
expressvpn 3.39.0.8_1-1
expressvpn-gui-gtk 0.4.7-1
fakeroot 1.30.1-1
fcft 3.1.5-2
fd 8.6.0-1
ffmpeg 2:5.1.2-1
file 5.44-1
filesystem 2023.01.30-1
findutils 4.9.0-2
firefox 109.0.1-1
flac 1.4.2-1
flashrom 1.2-4
flex 2.6.4-4
fmt 9.1.0-4
fontconfig 2:2.14.2-1
foot 1.13.1-2
freetype2 2.12.1-1
fribidi 1.0.12-1
fuse-common 3.13.0-1
fuse2 2.9.9-4
fuse3 3.13.0-1
fwupd 1.8.10-1
fwupd-efi 1.4-1
fzf 0.37.0-1
gawk 5.2.1-1
gc 8.2.2-1
gcab 1.5-1
gcc 12.2.1-1
gcc-libs 12.2.1-1
gcr 3.41.1-3
gcr-4 4.0.0-1
gdb 12.1-2
gdb-common 12.1-2
gdbm 1.23-1
gdk-pixbuf2 2.42.10-2
geoclue 2.7.0-1
geocode-glib-2 3.26.4-2
geocode-glib-common 3.26.4-2
gettext 0.21.1-2
ghostscript 10.0.0-4
giflib 5.2.1-2
git 2.39.1-1
gitkraken 9.0.1-1
glances-git 3.3.1.r25.ged20ae72-1
glib-networking 1:2.74.0-1
glib2 2.74.5-1
glibc 2.36-7
glibmm 2.66.5-1
gmp 6.2.1-2
gnome-autoar 0.4.3-2
gnome-calendar 43.1-2
gnome-desktop 1:43.1-1
gnome-desktop-common 1:43.1-1
gnome-keyring 1:42.1-2
gnome-online-accounts 3.46.0-1
gnome-themes-extra 3.28+r6+g45b1d457-1
gnu-free-fonts 20120503-8
gnupg 2.2.40-1
gnutls 3.7.8-5
go 2:1.20-1
gobject-introspection 1.74.0-1
gobject-introspection-runtime 1.74.0-1
gperftools 2.10-1
gpgme 1.18.0-2
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-2
graphene 1.10.8-1
graphite 1:1.3.14-2
grep 3.8-2
grim 1.4.0-3
groff 1.22.4-7
gsettings-desktop-schemas 43.0-1
gsfonts 20200910-2
gsm 1.0.22-1
gspell 1.12.0-2
gssdp 1.6.2-1
gst-plugin-gtk 1.22.0-3
gst-plugin-pipewire 1:0.3.65-5
gst-plugins-bad-libs 1.22.0-3
gst-plugins-base-libs 1.22.0-3
gstreamer 1.22.0-3
gthumb 3.12.2-5
gtk-layer-shell 0.8.0-1
gtk-update-icon-cache 1:4.8.3-3
gtk2 2.24.33-2
gtk3 1:3.24.36-1
gtk4 1:4.8.3-3
gtkmm3 3.24.7-1
gucharmap 15.0.2-1
guile 3.0.9-1
gupnp 1:1.6.3-1
gupnp-igd 1.2.0-3
gvfs 1.50.3-1
gzip 1.12-1
harfbuzz 6.0.0-1
harfbuzz-icu 6.0.0-1
hicolor-icon-theme 0.17-2
hidapi 0.13.1-1
highway 1.0.3-1
htop 3.2.1-1
http-parser 2.9.4-1
hunspell 1.7.2-1
hwdata 0.366-1
hyphen 2.8.8-5
iana-etc 20221215-1
icu 72.1-2
ijs 0.35-5
imagemagick 7.1.0.60-1
imath 3.1.6-2
iniparser 4.1-4
intel-ucode 20221108-1
intltool 0.51.0-6
iproute2 6.1.0-4
iptables 1:1.8.9-1
iputils 20221126-1
iso-codes 4.12.0-1
iw 5.19-1
iwd 2.2-1
jansson 2.14-2
jbig2dec 0.19-1
joplin-desktop 2.9.17-2
jq 1.6-4
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
kbd 2.5.1-1
keyutils 1.6.3-1
kmod 30-3
krb5 1.20.1-1
l-smash 2.14.5-2
lame 3.100-4
lcms2 2.14-2
ldns 1.8.3-2
leafpad 0.8.19-2
less 1:608-1
libadwaita 1:1.2.1-1
libaio 0.3.113-1
libappimage 1.0.4.5-4
libappindicator-gtk3 12.10.0.r298-1
libarchive 3.6.2-2
libass 0.17.0-1
libassuan 2.5.5-1
libasyncns 1:0.8+r3+g68cd5af-2
libatasmart 0.19-5
libavc1394 0.5.4-4
libavif 0.11.1-1
libblockdev 2.28-1
libbluray 1.3.4-1
libbpf 1.0.1-1
libbs2b 3.1.0-8
libbsd 0.11.7-1
libbytesize 2.7-1
libcamera 0.0.3-4
libcanberra 1:0.30+r2+gc0620e4-3
libcap 2.66-1
libcap-ng 0.8.3-1
libcbor 0.10.1-1
libcdio 2.1.0-3
libcdio-paranoia 10.2+2.0.1-2
libcloudproviders 0.3.1+r8+g3a229ee-1
libcolord 1.4.6-1
libcpuid 0.6.2-1
libcups 1:2.4.2-3
libdaemon 0.14-5
libdatrie 0.2.13-2
libdbusmenu-glib 16.04.0-5
libdbusmenu-gtk3 16.04.0-5
libde265 1.0.11-1
libdrm 2.4.114-1
libedit 20210910_3.1-2
libelf 0.188-2
libepoxy 1.5.10-1
libevdev 1.13.0-1
libevent 2.1.12-4
libexif 0.6.24-1
libfdk-aac 2.0.2-1
libffi 3.4.4-1
libfontenc 1.1.7-1
libfreeaptx 0.1.1-1
libftdi 1.5-4
libgcrypt 1.10.1-2
libgee 0.20.6-1
libgit2 1:1.5.1-2
libglvnd 1.6.0-1
libgpg-error 1.46-2
libgsf 1.14.50-1
libgtop 2.40.0+2+g31db82ef-2
libgudev 237-2
libgusb 0.4.4-1
libgweather-4 4.2.0-1
libgxps 0.3.2-3
libhandy 1.8.1-1
libheif 1.14.2-1
libical 3.0.16-4
libice 1.1.1-1
libidn 1.41-1
libidn2 2.3.4-3
libiec61883 1.2.0-7
libimobiledevice 1.3.0-5
libindicator-gtk3 12.10.1-10
libinih 56-1
